data_pagamento,ano,mes,id_tempo
2015-12-04,2015,12,199
2015-12-07,2015,12,200
2015-12-08,2015,12,201
2015-12-09,2015,12,202
2015-12-10,2015,12,203
2015-12-11,2015,12,204
2015-12-14,2015,12,205
2015-12-15,2015,12,206
2015-12-16,2015,12,207
2015-12-17,2015,12,208
2015-12-18,2015,12,209
2015-12-21,2015,12,210
2015-12-22,2015,12,211
2015-12-23,2015,12,212
2015-12-29,2015,12,213
2015-12-30,2015,12,214
2015-12-31,2015,12,215
2016-01-07,2016,1,216
2016-01-08,2016,1,217
2016-01-11,2016,1,218
2016-01-12,2016,1,219
2016-01-15,2016,1,220
2016-01-18,2016,1,221
2016-01-19,2016,1,222
2016-01-20,2016,1,223
2016-01-21,2016,1,224
2016-01-26,2016,1,225
2016-01-27,2016,1,226
2016-01-28,2016,1,227
2016-01-29,2016,1,228
2016-02-01,2016,2,229
2016-02-02,2016,2,230
2016-02-03,2016,2,231
2016-02-04,2016,2,232
2016-02-05,2016,2,233
2016-02-10,2016,2,234
2016-02-12,2016,2,235
2016-02-15,2016,2,236
2016-02-16,2016,2,237
2016-02-17,2016,2,238
2016-02-18,2016,2,239
2016-02-19,2016,2,240
2016-02-22,2016,2,241
2016-02-23,2016,2,242
2016-02-24,2016,2,243
2016-02-25,2016,2,244
2016-02-26,2016,2,245
2016-02-29,2016,2,246
2016-03-01,2016,3,247
2016-03-02,2016,3,248
2016-03-03,2016,3,249
2016-03-04,2016,3,250
2016-03-07,2016,3,251
2016-03-08,2016,3,252
2016-03-09,2016,3,253
2016-03-10,2016,3,254
2016-03-11,2016,3,255
2016-03-15,2016,3,256
2016-03-16,2016,3,257
2016-03-18,2016,3,258
2016-03-21,2016,3,259
2016-03-22,2016,3,260
2016-03-23,2016,3,261
2016-03-28,2016,3,262
2016-03-29,2016,3,263
2016-03-30,2016,3,264
2016-03-31,2016,3,265
2016-04-01,2016,4,266
2016-04-04,2016,4,267
2016-04-05,2016,4,268
2016-04-06,2016,4,269
2016-04-07,2016,4,270
2016-04-08,2016,4,271
2016-04-11,2016,4,272
2016-04-13,2016,4,273
2016-04-14,2016,4,274
2016-04-15,2016,4,275
2016-04-18,2016,4,276
2016-04-19,2016,4,277
2016-04-20,2016,4,278
2016-04-25,2016,4,279
2016-04-26,2016,4,280
2016-04-27,2016,4,281
2016-04-28,2016,4,282
2016-04-29,2016,4,283
2016-05-02,2016,5,284
2016-05-03,2016,5,285
2016-05-04,2016,5,286
2016-05-05,2016,5,287
2016-05-06,2016,5,288
2016-05-09,2016,5,289
2016-05-10,2016,5,290
2016-05-11,2016,5,291
2016-05-12,2016,5,292
2016-05-13,2016,5,293
2016-05-16,2016,5,294
2016-05-17,2016,5,295
2016-05-18,2016,5,296
2016-05-19,2016,5,297
2016-05-20,2016,5,298
2016-05-23,2016,5,299
2016-05-24,2016,5,300
2016-05-25,2016,5,301
2016-05-27,2016,5,302
2016-05-30,2016,5,303
2016-05-31,2016,5,304
2016-06-01,2016,6,305
2016-06-02,2016,6,306
2016-06-03,2016,6,307
2016-06-06,2016,6,308
2016-06-07,2016,6,309
2016-06-08,2016,6,310
2016-06-09,2016,6,311
2016-06-10,2016,6,312
2016-06-13,2016,6,313
2016-06-14,2016,6,314
2016-06-15,2016,6,315
2016-06-16,2016,6,316
2016-06-17,2016,6,317
2016-06-20,2016,6,318
2016-06-21,2016,6,319
2016-06-22,2016,6,320
2016-06-24,2016,6,321
2016-06-28,2016,6,322
2016-06-30,2016,6,323
2016-07-01,2016,7,324
2016-07-04,2016,7,325
2016-07-05,2016,7,326
2016-07-06,2016,7,327
2016-07-07,2016,7,328
2016-07-08,2016,7,329
2016-07-11,2016,7,330
2016-07-12,2016,7,331
2016-07-13,2016,7,332
2016-07-14,2016,7,333
2016-07-18,2016,7,334
2016-07-19,2016,7,335
2016-07-20,2016,7,336
2016-07-21,2016,7,337
2016-07-22,2016,7,338
2016-07-25,2016,7,339
2016-07-26,2016,7,340
2016-07-27,2016,7,341
2016-07-28,2016,7,342
2016-07-29,2016,7,343
2016-08-01,2016,8,344
2016-08-02,2016,8,345
2016-08-03,2016,8,346
2016-08-05,2016,8,347
2016-08-08,2016,8,348
2016-08-09,2016,8,349
2016-08-10,2016,8,350
2016-08-11,2016,8,351
2016-08-16,2016,8,352
2016-08-17,2016,8,353
2016-08-18,2016,8,354
2016-08-19,2016,8,355
2016-08-22,2016,8,356
2016-08-23,2016,8,357
2016-08-24,2016,8,358
2016-08-25,2016,8,359
2016-08-26,2016,8,360
2016-08-30,2016,8,361
2016-08-31,2016,8,362
2016-09-01,2016,9,363
2016-09-02,2016,9,364
2016-09-05,2016,9,365
2016-09-08,2016,9,366
2016-09-09,2016,9,367
2016-09-12,2016,9,368
2016-09-13,2016,9,369
2016-09-14,2016,9,370
2016-09-15,2016,9,371
